INN_key,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
ABACAVIRUM+LAMIVUDINUM,0.0,0.0,0.2428996650159566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,64501.30221980565,58462.3304054781,59148.51808649729,42725.68976379391,38256.98583811244,38924.65343004849,41479.03383607861,42379.24409338394,47504.12503170944,54886.54051485109,59322.08243384564,62668.73350152254
ABIRATERONE,52.79991503464176,62.596965878230336,56.180626836513255,56.34077588655164,56.49771540999441,53.36488731216068,54.16344511730577,58.46271164483388,54.224545150268455,50.55963223802814,59.447722191647976,56.93181443795589
ABROCITINIBUM,0.17914235851398266,0.17816850550451896,0.17698870067405276,0.17564413438678456,0.17416775893407477,0.17258593614901163,0.1709197554980659,0.2591860885544141,0.1953984325765974,0.22556758537144872,0.23570218518443461,0.17780914261192804
ACALABRUTINIBUM,0.16535983040570001,0.1616200294542326,0.15799718007955496,0.1544678919663091,0.15701345286220864,0.14761889296542455,0.47827223643449346,0.2309639025962449,0.1656862269121423,0.1344330777513565,0.13119954980922405,0.12798171884201434
ACECLOFENACUM,11950.90049977882,12080.968368636099,14346.627624322084,9655.065189471037,11565.902202190377,10885.106772966004,11869.14299018668,13005.55052456338,12763.352712664917,12504.999823746311,11938.676473211583,12305.979953383976
ACENOCOUMAROLUM,585.9741344657291,663.6976515897579,829.3784476174058,643.7242667679483,678.1569044168073,672.4069968643187,0.0,0.0,0.0,0.0,0.0,26.51631708641918
ACETAZOLAMIDUM,6897.526330325737,6976.490239204602,7186.800576032618,5610.54565521995,5897.304928294744,5831.409156479499,6016.30294875223,6186.002792295338,6203.481876854747,6572.3611542271965,6704.870185850082,7024.033420873311
ACETYLAMINONITROPROPOXYBENZENUM*,7.954644195022636,0.0,10.549539260066386,0.0,12.958631110172234,0.01859584333872988,6.297750558796615,11.812735757431309,26.368159915083982,38.65660108380373,0.0,0.0
ACETYLCYSTEINUM,252341.91799508466,214769.83571010598,198531.71296653544,103062.66785609133,61420.75885214832,34015.0731334063,24730.930042825,46647.2106547723,142991.36942874247,249410.260332331,222644.01973961407,236771.99794985296
ACETYLCYSTEINUM+AMBROXOLUM,179518.97864710298,153567.37914022885,123835.5781171691,75727.35588116093,42388.06147479389,23797.648132139846,15550.543240456187,30080.827109548816,94142.60118726248,175298.904231873,157461.67845000097,151753.9768069429
ACETYLCYSTEINUM+TUAMINOHEPTANUM,6664.821240079484,6722.284873848213,6726.646561857916,4623.108693260401,4073.9623793771084,3342.3025092651965,3448.820594170387,4388.00744308926,7820.084903219077,9433.735252317656,7980.602312591237,8512.769941804823
ACHILLEA MILLEFOLIUM*&,8879.756487220322,8652.473619088069,8198.494900242167,5872.903500825356,5403.505556951811,3824.846377512881,3632.0270096216427,4112.454690968556,5044.342011705993,5697.658643955849,6674.24432541564,7485.616446243377
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,4890.5028154134125,4426.747500626177,4697.933444517423,4125.449995351452,4375.8794317397105,4922.30597657135,5307.695808157696,5177.688669147807,4381.957953660926,4597.542376992458,4399.622511378716,4631.213614608756
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,95.00909842279154,107.42207499454445,106.72656439309708,113.33866405308952,127.1580519222338,118.72487035869953,98.66643324902243,99.32779170243109,93.65618660630831,99.77541067056043,105.29609806311242,121.51995611830435
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2.2058954122907406,0.0,0.0,0.0,3.327698354606863,1.0738596043932278,2.6064744060275906,4.639620081917553,0.42537008835033174,0.0,0.0,0.35292665422463454
ACHILLEA MILLEFOLIUM+CALENDULA+MATRICARIA CHAMOMILLA+MENTHA PIPERITA+TANACETUM VULG.,738.0564736907443,675.2078335993883,501.4588978530608,179.78692558275662,42.50292409327011,0.0,0.0,0.0,74.63603224449645,268.25889105644967,368.38155443276946,387.78846146058254
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,5084.166622121762,4956.19298651738,4211.471427075275,2638.8403285629915,2181.3495987945653,2098.7499640212245,2082.4236052439533,2577.0150672635355,2901.5479859206016,3593.909669887655,3802.091966102699,4182.943152116133
ACICLOVIRUM,289611.4914409188,249689.47427127283,250766.46799712873,218871.17763938612,196909.99001476465,170296.22697664023,206784.96680771327,232899.40893414436,254037.65249686188,255534.48080860852,252970.73931957857,283228.96638992726
ACICLOVIRUM+HYDROCORTISONUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDUM ACETYLSALICYLICUM*,1441460.557440626,1462592.0840473336,1754404.3329148619,1188433.899191046,1184608.0229941546,1424166.0536188034,2209197.770500684,3466857.1067883503,2241050.6642006454,1712901.092912643,1654160.7258644025,1504477.3094079725
ACIDUM ACETYLSALICYLICUM*+ACIDUM CITRICUM+NATRII HYDROCARBONAS*,1.503109983197195,2.129250682090433,10.404693888607072,4.925979101222449,13.098737918716797,22.936675620114343,23.55035642863442,28.43583172285256,32.42914260562911,45.77672195925242,0.2277160895531054,2.382242041195724
ACIDUM ACETYLSALICYLICUM*+ATORVASTATINUM+RAMIPRILUM,5290.608376888535,5382.567385393946,5660.52591512131,4550.247661826237,4686.310382113212,4541.918681265826,4508.173843510952,4527.838096230085,4530.084821328428,5093.224324330136,5273.674849654535,5390.838592837091
ACIDUM ACETYLSALICYLICUM*+BISOPROLOLUM,18.075417438904786,6.41571958835746,4.017835550764831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDUM ACETYLSALICYLICUM*+CLOPIDOGRELUM,382.1387990931063,359.6560292642608,391.2497623314427,222.25109771544675,239.29371495290826,199.090157673136,194.14366077957652,224.5068121949875,240.42048225757452,306.2585672379026,378.32218415242346,405.2830266142987
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,2881693.146113373,2779544.0151206907,2981736.741243799,2377568.503059542,2438858.94022939,2703368.1680825227,3043710.683682285,3097065.7622793484,2869880.2480742545,2919834.6696274346,2605782.636987233,2956883.6989923264
ACIDUM ACETYLSALICYLICUM*+GLYCINUM,9.014204229753581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDUM ACETYLSALICYLICUM*+ROSUVASTATINUM,7480.575538796812,7687.347602327604,7469.0375147249,6891.370506215392,7369.113960980447,7585.746186365148,7745.557428245569,7979.947883322565,7937.31890895682,8107.701591036885,8333.431198273594,8619.186745635623
ACIDUM ACETYLSALICYLICUM*+VITAMIN C,27347.50034697738,22081.443845037567,24912.750812365968,14323.056555108926,14364.502518183534,14600.38705752347,16880.342057875656,20041.397427037657,22315.8106912475,26803.975871495615,25443.772584574348,29429.8529239176
ACIDUM ADENOSINTRIPHOSPHORICUM*,22375.15083345904,23560.860457434188,24104.69307120168,17262.266476803077,17304.571315871563,15365.176501713753,14828.74476497488,15753.274690171167,16838.718744915597,20531.837703298508,22029.73658459223,22838.935804214587
ACIDUM ADENOSINTRIPHOSPHORICUM*+ACIDUM FOLICUM+MOLSIDOMINUM,53793.05401148247,55992.27860099135,54604.499096882966,43149.66791788079,46691.97219896357,41998.709648114316,41209.70723171945,42672.585322888066,40960.923820107484,47813.81664216755,52111.33292410013,54552.6631739307
ACIDUM ADENOSINTRIPHOSPHORICUM*+COCARBOXYLASUM+CYANOCOBALAMINUM+NICOTINAMIDUM,29463.150948466733,31401.768310301635,28954.451250061295,22615.359852160782,25723.085784132112,25000.700780000927,25835.518226987726,25424.735234868913,27134.10389146561,29454.229467034715,32327.888177781748,30567.851796671126
ACIDUM ALENDRONICUM,4889.5239568661145,4716.613655950478,4799.692367760341,4024.4906897506035,4261.507499885187,4432.872300535226,4727.06549359763,4793.245000589926,4833.859558726137,5015.752957777477,5014.859429560923,5126.312359530053
ACIDUM ALENDRONICUM+COLECALCIFEROLUM,49.568322253249136,47.16349888779737,26.364020856730775,4.451619093172312,2.9356783436203315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,62352.968216592235,58918.97464659362,58165.700965532225,53131.17159562059,51030.154874628766,45468.03827277278,47201.72456622547,48528.09757592512,51890.394758622315,56090.44887971755,56358.258151531234,61934.77154391965
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,1375.736372503627,564.4599769144024,847.2829277950655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDUM AZELAICUM,14607.45025428343,14094.908057120887,13756.072463269706,14188.460952067622,15270.659906984802,14980.988834797407,15875.541740926348,16474.600229708354,15509.138384612808,15572.257072415236,14811.514986536025,14614.26348171152
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,110.04033288184814,123.73617712277942,114.61072314625518,98.60423059576655,109.08690718610642,124.07171908910905,163.57743924224192,158.28788599547897,138.9253140287994,146.57192708618652,140.88748816282688,128.74500765486997
ACIDUM BORICUM*,116834.36096516342,116587.2809864374,167780.53818443313,130041.75840031463,190125.70348318748,251979.99878970222,239124.43270867673,189562.714209488,146372.5184130442,121479.80018420808,117316.26574459928,113144.18630475641
ACIDUM BORICUM*+BENZOCAINUM+CHLORAMPHENICOLUM+HYPPOPHAE RHAMNOIDES,3498.5052074125156,3398.131371489091,3400.4581445397366,3029.4122047696396,3282.7096947429477,4132.724728510979,4220.846597314791,4160.406334147227,3794.3731654025614,3796.7712721962153,3643.9571994205244,3771.434182989357
ACIDUM BORICUM*+DEXTROSUM*+OSARSOLUM,48.865413374374114,52.088399113938316,45.98056258750133,22.581268248263388,18.222407658784675,12.181494069113345,11.21253807928792,7.550748169339226,4.79109112329191,15.448740368365705,1.3154346463363744,4.373764950624558
ACIDUM BORICUM*+ZINCI SULFAS*,0.0,3.0411313654124683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDUM CITRICUM+KALII HYDROCARBONATIS+SODIUM CITRAS*,3636.724035617186,3866.418536025016,3796.1863711942924,3305.675674172724,3555.6457513984824,3544.6452480221,3801.2906801640074,3866.3436607205454,3733.805080008786,3825.0524502823914,3925.380581344288,3805.0137210368166
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,0.0,12.279502556887042,0.0,0.0,0.0,0.0,13.237876395350028,33.87510963511636,40.51532773568186,13.016733724886674,26.07829002500292,4.738366573848446
ACIDUM CLODRONICUM,1.7096251140701972,0.0,1.0541090336702374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10537216812695926
